latitude,longitude,band,relief_m,elevation_std_m,slope_mean,slope_std,slope_p90,slope_p99,slope_max,unstable_fraction,excess_total_m,excess_max_m,toppled_fraction,mass_moved_m,max_change_m,initial_excess_m,residual_excess_m,excess_relieved_fraction,residual_unstable_fraction,iterations,converged,grid_spacing_y_m,grid_spacing_x_m,nodata_fraction,hemisphere
12.379652013084048,-168.44921875,16,1039.0,190.72585013016493,0.15692747972887452,0.082651162675125,0.27535055853803564,0.36637462852084807,0.5116565936205741,0.0,4.327005477388198,4.327005477388198,6.103515625e-05,2.163502738319494,2.163502738319494,4.327005477388198,7.492104714401648e-10,0.9999999998268524,0.0,44,True,59.22529380002046,57.84821556094966,0.0,farside
15.199349518928132,-167.98828125,17,1551.0,389.82262851945575,0.22008088007862966,0.10135917936134835,0.3557404121465314,0.42374514247227535,0.5390141548459428,0.0,5.894190182213087,2.827005477416023,0.000244140625,2.9470950902550612,1.4135027382999397,5.894190182213087,1.7029648802235897e-09,0.9999999997110773,0.0,43,True,59.225293799972235,57.15356169566894,0.0,farside
18.160694467641463,-164.943359375,19,1078.5,217.01686177161199,0.1673730233094279,0.0822488674672866,0.2803296872217522,0.37200322484077847,0.5833508381104581,6.103515625e-05,64.74189848522508,60.712602641723635,0.0001220703125,18.00480199103822,15.99015406941362,64.74189848522508,9.490719321547658e-10,0.9999999999853407,0.0,46,True,59.22529380006868,56.27505053119334,0.0,farside
-28.260032363701665,-163.15625,7,794.5,182.4014226122781,0.12502979839949846,0.060943403603291764,0.20876541873109816,0.28091150466693254,0.3708114430127079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,True,59.22529380006868,52.16610354777753,0.0,farside
4.732929733319391,-160.96484375,15,208.5,21.392324536768363,0.08392143256877016,0.07802771814271448,0.17968957712943495,0.3966139205420306,0.5225549323755785,0.0,2.274123851615002,0.9435309629037505,0.000244140625,1.137061924894624,0.4717654810729073,2.274123851615002,1.8257537703902926e-09,0.9999999991971616,0.0,41,True,59.22529380002046,59.023343218537704,0.0,farside
-18.96317492817754,-160.15625,9,1024.0,259.17776372625343,0.15745455606037603,0.07151897057728801,0.2486365097265711,0.3590491736370392,0.49760952980657364,0.0,5.726619650870248,2.181654912717562,0.000244140625,2.86330982460845,1.0908274560438258,5.726619650870248,1.653347680985462e-09,0.9999999997112873,0.0,43,True,59.225293799972235,56.01099668506489,0.0,farside
15.199349518928132,-159.34765625,17,1947.0,467.6321639724481,0.23333925502660324,0.08794718138554654,0.33493122911251766,0.42608690878542693,1.211483524733926,0.000244140625,350.6798171902782,345.6988007580301,0.00030517578125,76.44084376274509,73.95033554662018,350.6798171902782,1.6300845118166762e-09,0.9999999999953516,6.103515625e-05,99,True,59.225293799972235,57.15356169566894,0.0,farside
-31.017135333423887,-158.525390625,4,1333.5,371.880382538618,0.1778868622996855,0.07270782798203146,0.271840373333651,0.34990641352477386,0.4527628771472864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,True,59.225293799972235,50.75686039409525,0.0,farside
12.379652013084048,-158.3984375,16,3005.5,887.2700837237162,0.4061271041616876,0.16396914546344948,0.5753866634713527,0.6476258036880862,0.8009047775008135,0.09625244140625,1777.9909868490156,24.448585098720244,0.04925537109375,1013.7993270116758,12.713502738670286,1777.9909868490156,8.430987463725614e-09,0.9999999999952581,0.0972900390625,1225,True,59.22529380002046,57.84821556094966,0.0,farside
-28.260032363701665,-157.658203125,7,1627.5,320.5617100318363,0.16828164274040827,0.07292687014243529,0.24166462732358143,0.3433945353464542,3.071944245755961,0.00048828125,1402.2356603985313,1081.4543274605855,0.00067138671875,308.62831512930734,239.02331045378332,1402.2356603985313,2.1594672716673813e-09,0.99999999999846,0.000244140625,179,True,59.22529380006868,52.16610354777753,0.0,farside
-37.20400040774718,-155.03125,2,600.5,109.54219987274094,0.10518326764876722,0.07965309220178676,0.21303725147227864,0.3461306583918317,0.5533793903779416,0.0,15.390265668225226,7.827005477416023,0.00018310546875,7.6951328333125275,3.913502738300849,15.390265668225226,1.600170662641176e-09,0.9999999998960271,0.0,45,True,59.225293799972235,47.17221820553796,0.0,farside
-31.017135333423887,-153.36328125,4,212.0,27.90096640506791,0.05654713609379523,0.03630983390648332,0.10426659480240554,0.1774344050220835,0.2782005817366032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,True,59.225293799972235,50.75686039409525,0.0,farside
